मां	{'noun': ['positive']}
तेज़ी_से	{'adv': ['negative']}
दया_करनेवाला	{'adj': ['negative']}
जीभ	{'noun': ['negative']}
खेद	{'adj': ['negative']}
डाही	{'adj': ['negative']}
अतिशयोक्ति	{'noun': ['negative']}
प्रसव	{'noun': ['negative']}
संकोची	{'noun': ['negative'], 'adj': ['negative']}
अलंघनीय	{'adv': ['negative']}
अपरिभाषित	{'adj': ['negative']}
पनीर_का	{'anypos': ['negative']}
रक्षा	{'noun': ['negative']}
अनम्य	{'adj': ['negative']}
रियायतें	{'noun': ['negative']}
शातिर	{'adj': ['negative']}
थकावट	{'noun': ['negative']}
विनाशक	{'adj': ['negative']}
सठिया	{'adj': ['negative']}
अभद्र	{'adj': ['negative']}
अनजाने_से	{'adv': ['negative']}
विरोधी_प्रसार	{'noun': ['negative']}
घटती	{'noun': ['negative'], 'adj': ['negative']}
दमन_का	{'adj': ['negative']}
ऊबड़-खाबड़	{'adj': ['negative']}
चक्राकार	{'adj': ['negative']}
हैरत	{'adj': ['negative']}
उग्र	{'noun': ['negative'], 'adj': ['negative']}
झगड़ालू	{'adj': ['negative']}
दूरदर्शिता	{'noun': ['negative']}
गगनभेदी	{'adj': ['negative']}
घिनौने_रूप_में	{'anypos': ['negative']}
तर्क	{'noun': ['negative']}
काटने_की_क्रिया	{'noun': ['negative']}
गरीब	{'adj': ['negative']}
कीचड़	{'noun': ['negative']}
ताना	{'noun': ['negative']}
खड़ी	{'adj': ['negative']}
शक्तिहीन	{'adj': ['negative']}
मांग	{'noun': ['negative']}
घिसा	{'anypos': ['negative']}
बंदरगाहों	{'noun': ['negative']}
स्तंभित	{'adj': ['negative']}
अहंकार	{'noun': ['negative'], 'anypos': ['negative']}
प्रतिकारक	{'adj': ['negative']}
तोड़-बिंदु	{'noun': ['negative']}
बेतरतीब	{'adj': ['negative']}
लालसे_से	{'adv': ['negative']}
सिड़	{'noun': ['negative']}
की_निंदा_की	{'anypos': ['negative']}
अनाड़ी	{'adj': ['negative']}
बेसब्री_से	{'adv': ['negative']}
सम्मेलन	{'noun': ['negative']}
तूफ़ानी	{'adj': ['negative']}
चिल्लाहट	{'noun': ['negative']}
तलाकशुदा	{'adj': ['negative']}
गलतफहमी	{'noun': ['negative']}
व्यक्तित्व	{'noun': ['negative']}
हासकर	{'adj': ['negative']}
वैभव	{'noun': ['negative']}
घर्षण	{'noun': ['negative']}
छलरचना	{'noun': ['negative']}
तानाशाह_का	{'adj': ['negative']}
अशिक्षित	{'adj': ['negative']}
आतंकवाद	{'noun': ['negative']}
शर्मिंदा	{'adj': ['negative']}
अलगाव	{'noun': ['negative']}
बदलने_के_योग्य	{'adj': ['negative']}
निर्धारित	{'adj': ['negative']}
बेतहाशा	{'adv': ['negative']}
कड़वाहट_भरी	{'adj': ['negative']}
सुस्ती	{'noun': ['negative']}
शह	{'noun': ['negative']}
हार्ड_लाइनर	{'noun': ['negative']}
अन्तर	{'noun': ['negative']}
दण्ड_से_मुक्ति	{'noun': ['negative']}
लाइसेंस	{'noun': ['negative']}
अक्षम्य	{'adv': ['negative'], 'adj': ['negative']}
के_खिलाफ	{'anypos': ['negative']}
मुड़	{'adj': ['negative']}
कारावास	{'noun': ['negative']}
अल्पज्ञता	{'noun': ['negative']}
देर_में_आया_हुआ	{'adj': ['negative']}
नफरत	{'noun': ['negative']}
रोलर_कॉस्टर	{'noun': ['negative']}
चिंतित	{'anypos': ['negative'], 'adj': ['negative']}
अतिवाद	{'noun': ['negative']}
कम_मूल्यांकन	{'adj': ['negative']}
गतिरोध	{'noun': ['negative']}
मौजी	{'adj': ['negative']}
कम_ज्ञात	{'adj': ['negative']}
पशु	{'noun': ['negative']}
वंचित	{'adj': ['negative']}
शरारती_तत्वों	{'noun': ['negative']}
परम_सुख	{'noun': ['negative']}
अनोखा	{'adj': ['negative']}
परित्याग	{'noun': ['negative']}
प्रतिहिंसक	{'adj': ['negative']}
दुष्टता	{'noun': ['negative']}
मंदा	{'adj': ['negative']}
निरीक्षण	{'noun': ['negative']}
धोखा_दिया	{'anypos': ['negative']}
विनाश	{'noun': ['negative']}
नफ़रत_से	{'anypos': ['negative']}
शहादत_की_मांग	{'adj': ['negative']}
रूपहीन	{'adj': ['negative']}
बेहूदा	{'adj': ['negative']}
कठिन_परिस्थिति	{'noun': ['negative']}
अविवेकी	{'adj': ['negative']}
आंदोलन	{'noun': ['negative']}
सुरसुराहट	{'noun': ['negative']}
दास	{'noun': ['negative']}
सुनसान	{'adj': ['negative']}
करालता	{'noun': ['negative']}
चरमराती	{'anypos': ['negative']}
दण्ड	{'noun': ['negative']}
विभाजित	{'adj': ['negative']}
शाही	{'adj': ['negative']}
कठिन	{'adv': ['negative'], 'adj': ['negative']}
प्रतिरोध	{'noun': ['negative']}
भूलों	{'anypos': ['negative']}
न_मादा_न_नर	{'adj': ['negative']}
पराजय	{'noun': ['negative']}
हत्यारा	{'noun': ['negative']}
ज्यादतियों	{'noun': ['negative']}
पंचमेल	{'adj': ['negative']}
अभंग	{'adj': ['negative']}
प्रतिक्रियावादी	{'adj': ['negative']}
भ्रष्ट	{'anypos': ['negative'], 'adj': ['negative']}
स्वच्छ	{'adj': ['negative']}
नम्रता	{'noun': ['negative']}
अचल	{'adj': ['negative']}
भगदड़_का	{'adj': ['negative']}
असभ्यता	{'adj': ['negative']}
कुल	{'adj': ['negative']}
संदेहवाद	{'noun': ['negative']}
वाहवाही	{'noun': ['negative']}
घबराहट	{'noun': ['negative']}
अपंग	{'anypos': ['negative']}
संवेदन-शून्य	{'adj': ['negative']}
घृणापूर्ण	{'adj': ['negative']}
बेमेल	{'adj': ['negative']}
अपवाद	{'noun': ['negative']}
अविश्वसनीयता	{'noun': ['negative']}
अप्रिय	{'adj': ['negative']}
अव्यवस्थित	{'adj': ['negative']}
ड्रोन	{'noun': ['negative']}
स्र्काई_से	{'adv': ['negative']}
तुली_हुई	{'adj': ['negative']}
रहस्य	{'noun': ['negative']}
अस्पष्टता	{'noun': ['negative'], 'adj': ['negative']}
अमेरिका_विरोधी	{'noun': ['negative'], 'anypos': ['negative']}
सावधान	{'adj': ['negative']}
अति_सरलीकरण	{'noun': ['negative']}
छोटे_क़द_का	{'adj': ['negative']}
दोष	{'noun': ['negative']}
शैतानी	{'noun': ['negative'], 'adj': ['negative']}
व्यसनी	{'noun': ['negative'], 'anypos': ['negative']}
चतुराई	{'noun': ['negative']}
लड़ाई	{'noun': ['negative']}
जानलेवा	{'adj': ['negative']}
ललकार	{'noun': ['negative']}
दूर_की_कौड़ी	{'adj': ['negative']}
अनुभवहीन	{'adj': ['negative']}
अनुभव_शून्यता	{'noun': ['negative']}
जोश	{'noun': ['negative']}
मेल-जोल	{'noun': ['negative']}
चूहा	{'noun': ['negative']}
जोखिम	{'noun': ['negative'], 'adj': ['negative']}
भृत्यभाव	{'noun': ['negative']}
दानशील	{'adj': ['negative']}
कृतघ्न	{'noun': ['negative']}
कोलाहल	{'noun': ['negative']}
अनिश्चित	{'adv': ['negative'], 'adj': ['negative']}
डींग_मारने_का	{'adj': ['negative']}
अनुपलब्ध	{'adj': ['negative']}
उपवास	{'noun': ['negative']}
विषम	{'adj': ['negative']}
द्वीपीय	{'adj': ['negative']}
कुदाल	{'noun': ['negative']}
निंदा	{'noun': ['negative'], 'anypos': ['negative']}
पिछड़ा	{'adj': ['negative']}
दुविधा	{'noun': ['negative']}
जलती_हुई	{'anypos': ['negative']}
असंबद्ध	{'adj': ['negative']}
क्रोधित	{'adj': ['negative']}
पस्त	{'adj': ['negative']}
तोड़_दिया	{'adj': ['negative']}
संघर्ष	{'noun': ['negative'], 'anypos': ['negative']}
चंदा	{'noun': ['negative']}
उपयुक्तता	{'noun': ['negative']}
यथार्थवादी	{'noun': ['negative']}
अकुशल	{'adj': ['negative']}
आलोचकों	{'noun': ['negative']}
शरण	{'noun': ['negative']}
बेहूदापन	{'noun': ['negative']}
हड्डी_उखड़	{'adj': ['negative']}
सही	{'anypos': ['negative']}
मिश्रण	{'noun': ['negative']}
शाप	{'noun': ['negative']}
अनकदी	{'adj': ['negative']}
चिढ़	{'noun': ['negative']}
भ्रष्टाचार	{'noun': ['negative']}
महाकाव्य	{'adj': ['negative']}
चेतावनी	{'noun': ['negative'], 'anypos': ['negative']}
बुतपरस्त	{'noun': ['negative']}
विकृत	{'adj': ['negative']}
सिरदर्द	{'noun': ['negative']}
ढीठपन	{'noun': ['negative']}
दख़लंदाज़ी	{'noun': ['negative']}
प्रतिकूल	{'anypos': ['negative'], 'adj': ['negative']}
घबड़ाया_हुआ	{'adj': ['negative']}
मूर्खता	{'noun': ['negative']}
कमी	{'noun': ['negative'], 'adj': ['negative']}
इकबालिया	{'noun': ['negative']}
दोषसिद्धि	{'noun': ['negative']}
खंडित	{'adj': ['negative']}
टपका_हुआ	{'adj': ['negative']}
जून्की	{'adj': ['negative']}
जोड़-तोड़	{'noun': ['negative']}
वसा	{'adj': ['negative']}
अस्वस्थ	{'adj': ['negative']}
बदमाशों	{'noun': ['negative']}
खराब	{'adj': ['negative']}
एकाकार	{'adj': ['negative']}
हटानेवाला	{'adj': ['negative']}
हिचकिचाहट_में	{'adj': ['negative']}
निष्क्रियता	{'noun': ['negative']}
भयानक	{'adj': ['negative']}
कठपुतलियों	{'noun': ['negative']}
कसाईखाना	{'noun': ['negative']}
कष्ट	{'noun': ['negative']}
अल्प	{'adj': ['negative']}
अनिश्चय_से	{'adv': ['negative']}
निर्दयतापूर्वक	{'anypos': ['negative']}
मूत	{'adj': ['negative']}
नरसंहार	{'noun': ['negative']}
परेशान	{'anypos': ['negative'], 'adj': ['negative']}
बेस्वाद	{'adj': ['negative']}
अदम्य	{'noun': ['negative'], 'adj': ['negative']}
दयनीय	{'adj': ['negative']}
निराशा	{'noun': ['negative'], 'adv': ['negative']}
मंद_होना	{'adj': ['negative']}
देयता	{'noun': ['negative']}
खेलों	{'anypos': ['negative']}
फ़ैसिस्टवाद	{'noun': ['negative']}
बहाने	{'noun': ['negative']}
अस्वीकृति	{'noun': ['negative']}
झुका_हुआ	{'noun': ['negative']}
महाकाय	{'adj': ['negative']}
कमज़ोर	{'adj': ['negative']}
टकसाली	{'noun': ['negative']}
दंड	{'noun': ['negative']}
विरोधाभासों	{'noun': ['negative']}
छल	{'noun': ['negative']}
मासूम	{'adj': ['negative']}
मिथ्या	{'adj': ['negative']}
इच्छा_का_अभाव	{'noun': ['negative']}
गर्भपात	{'anypos': ['negative']}
बेजान	{'adj': ['negative']}
क्रूर	{'adj': ['negative']}
नेक्रोमन्ट	{'noun': ['negative']}
नायकत्व	{'noun': ['negative']}
हार्ड_लाइन	{'adj': ['negative']}
प्रतिकारिता	{'noun': ['negative']}
नुक़सानदेह	{'adj': ['negative']}
क्रोधी	{'noun': ['negative'], 'adj': ['negative']}
वापस_लौटें	{'noun': ['negative']}
चर्चा_हुई	{'anypos': ['negative']}
आर्थिक_तंगी	{'adj': ['negative']}
वीटो	{'noun': ['negative']}
नीरस	{'adj': ['negative']}
मोह_का	{'adj': ['negative']}
धूर्त	{'adj': ['negative']}
गुस्सा_दिलाती	{'anypos': ['negative']}
अंधाधुंधता	{'noun': ['negative']}
लड़ाकू	{'noun': ['negative']}
मोज़री	{'anypos': ['negative']}
उदासीन	{'noun': ['negative'], 'adj': ['negative']}
पौधा-घर	{'noun': ['negative']}
अकर्मण्य	{'adj': ['negative']}
नामुनासिब	{'adj': ['negative']}
जंग	{'noun': ['negative']}
नुकीला	{'adj': ['negative']}
विद्वेष	{'noun': ['negative']}
अधीर	{'adj': ['negative']}
दुर्घटना_का_शिकार	{'noun': ['negative']}
जीवन_के_लिए_खतरा	{'adj': ['negative']}
उद्योगी	{'noun': ['negative']}
चांदी-जैसा	{'adj': ['negative']}
आघात	{'noun': ['negative'], 'adj': ['negative']}
विक्षुब्ध	{'adj': ['negative']}
घुमक्कड़	{'noun': ['negative']}
ढिठाई	{'noun': ['negative']}
थकान	{'noun': ['negative']}
अंधेरा	{'noun': ['negative'], 'adj': ['negative']}
आपत्तिजनक	{'anypos': ['negative'], 'adj': ['negative']}
नीचता_से	{'adv': ['negative']}
पक्ष	{'noun': ['negative']}
भयग्रस्त	{'adj': ['negative']}
विद्रोह_का	{'adj': ['negative']}
पहेली	{'noun': ['negative']}
किशोर	{'adj': ['negative']}
बेख़बर	{'adj': ['negative']}
खस्ताहाल	{'adj': ['negative']}
प्रलोभन	{'noun': ['negative']}
समान	{'adj': ['negative']}
बेतरतीबी	{'noun': ['negative']}
पीड़ादायक	{'noun': ['negative'], 'adj': ['negative']}
धुँधली	{'anypos': ['negative']}
निहितार्थ	{'noun': ['negative']}
बलि	{'adj': ['negative']}
गंधहीन	{'adj': ['negative']}
प्रभावहीनता	{'noun': ['negative']}
असंतोषजनक	{'adj': ['negative']}
पापी	{'adj': ['negative']}
ओवर-वैल्यूएशन	{'noun': ['negative']}
साजिश	{'noun': ['negative']}
अल्पविकसित	{'adj': ['negative']}
क्रुद्ध	{'adj': ['negative']}
ज़िंदादिल	{'adj': ['negative']}
तांबे_का	{'anypos': ['negative']}
पुतला	{'noun': ['negative']}
मख़मली	{'adj': ['negative']}
अयोग्यतापूर्वक	{'adv': ['negative']}
दलित_व्यक्ति	{'noun': ['negative']}
कर्ज_उतारने	{'noun': ['negative']}
असत	{'adj': ['negative']}
निरंतर	{'adv': ['negative']}
डरा_हुआ	{'adj': ['negative']}
युद्ध	{'noun': ['negative']}
जहाज़_की_तबाही	{'noun': ['negative']}
हठी	{'adj': ['negative']}
धमकी	{'noun': ['negative']}
रहित	{'adj': ['negative']}
प्रदूषण	{'noun': ['negative']}
कठोरता_से	{'anypos': ['negative']}
मायूसी	{'noun': ['negative']}
पाखंड	{'noun': ['negative']}
बेईमान	{'noun': ['negative'], 'anypos': ['negative'], 'adj': ['negative']}
उपद्रवी	{'noun': ['negative']}
आचारभ्रष्टीकरण	{'noun': ['negative']}
रूपांतरण	{'noun': ['negative']}
मनहूस	{'adj': ['negative']}
हिमस्खलन	{'noun': ['negative']}
गंदा	{'adj': ['negative']}
अनुसार	{'noun': ['negative']}
अनायास	{'adv': ['negative']}
अलग-अलग	{'anypos': ['negative']}
गिरावट	{'noun': ['negative']}
शरारती	{'adj': ['negative']}
फूहड़	{'adj': ['negative']}
विरोध_प्रदर्शन	{'noun': ['negative']}
निरा	{'adj': ['negative']}
मछली_फंसाने_की_कांटेदार_बछीद्द	{'noun': ['negative']}
झीना	{'adj': ['negative']}
कोशिश_कर	{'adj': ['negative']}
आलोचक	{'noun': ['negative']}
प्रति_असम्मान	{'noun': ['negative']}
काल_कोठरी	{'noun': ['negative']}
रुक-रुक_कर	{'adj': ['negative']}
क्रूरताओं	{'noun': ['negative']}
सस्ता	{'adj': ['negative']}
अमोघ	{'adj': ['negative']}
नाटक	{'noun': ['negative']}
प्रकट_करनेवाला	{'noun': ['negative']}
ड्रेगन	{'noun': ['negative']}
बांटनेवाला	{'adj': ['negative']}
नाजायज	{'adj': ['negative']}
दुर्गन्धि-युक्त	{'adj': ['negative']}
दिखावा	{'noun': ['negative'], 'adj': ['negative']}
आज्ञा_न_माननेवाला	{'adj': ['negative']}
अस्पष्टीकृत	{'adj': ['negative']}
नन्हा	{'adj': ['negative']}
अल्पज्ञता_से	{'adv': ['negative']}
बड़ी_मुसीबत	{'noun': ['negative']}
चुनाव-मेकेनिक	{'noun': ['negative']}
अव्यवस्था	{'noun': ['negative']}
गुलाम	{'noun': ['negative']}
स्तब्ध	{'adj': ['negative']}
फूला_हुआ	{'adj': ['negative']}
तानाशाह	{'noun': ['negative']}
स्थूलता	{'anypos': ['negative']}
भय_से	{'adv': ['negative'], 'anypos': ['negative']}
व्यंग्य	{'adv': ['negative'], 'anypos': ['negative']}
आशाहीन	{'adj': ['negative']}
विनम्र	{'adj': ['negative']}
हानि_पहुँचाता	{'noun': ['negative']}
बिगड़ती	{'noun': ['negative']}
कट्टरता	{'noun': ['negative'], 'anypos': ['negative']}
भेस_बदले_हुए	{'adj': ['negative']}
कष्टकार	{'adj': ['negative']}
गालियाँ	{'noun': ['negative']}
बुद्धिहीन_से	{'adv': ['negative']}
सिंड्रोम	{'noun': ['negative']}
राक्षसी	{'adj': ['negative']}
नष्ट	{'anypos': ['negative']}
बाधाओं	{'noun': ['negative']}
बेरहम	{'adj': ['negative']}
किफ़ायती	{'adj': ['negative']}
ईर्ष्या	{'adj': ['negative']}
आलोचना	{'noun': ['negative']}
असंख्य	{'noun': ['negative']}
निंदा_करना	{'noun': ['negative']}
अवैध_रूप_से	{'adv': ['negative']}
चौंकाने_वाला	{'adj': ['negative']}
गदहे_का	{'adj': ['negative']}
अप्रभावी	{'adj': ['negative']}
वहशी	{'adj': ['negative']}
मूर्ख	{'adj': ['negative']}
ढांचे_के_रूप_में	{'adj': ['negative']}
अतिदेय	{'adj': ['negative']}
पागल_मनुष्य	{'noun': ['negative']}
मलाल	{'noun': ['negative']}
साहस	{'anypos': ['negative']}
कार्य	{'noun': ['negative']}
अराजक	{'adj': ['negative']}
दूषित	{'anypos': ['negative']}
घुसपैठियों	{'noun': ['negative']}
विह्वल	{'adj': ['negative']}
दुर्घटनाओं	{'anypos': ['negative']}
उपेक्षित	{'adj': ['negative']}
निर्मम	{'adj': ['negative']}
रियायत	{'noun': ['negative']}
कमियां	{'noun': ['negative']}
नोस्ट्रम	{'noun': ['negative']}
अभाव	{'noun': ['negative']}
अप्रसिद्ध	{'adj': ['negative']}
बेअदब	{'adj': ['negative']}
जमे_हुए	{'adj': ['negative']}
आसन्न	{'noun': ['negative'], 'adj': ['negative']}
शर्मनाक_तरीके	{'noun': ['negative']}
ठनी	{'adj': ['negative']}
अपकार	{'noun': ['negative']}
अवांछनीय	{'adj': ['negative']}
गैर-विश्वास	{'noun': ['negative']}
अघुलनशील	{'adj': ['negative']}
बेअसर	{'noun': ['negative']}
न्यून	{'adj': ['negative']}
एकता_का_अभाव	{'noun': ['negative']}
उत्तेजित	{'adj': ['negative']}
क्लीषे	{'anypos': ['negative']}
अपवित्रता	{'noun': ['negative']}
नासमझी	{'noun': ['negative']}
हाय	{'anypos': ['negative']}
सावधानी	{'noun': ['negative']}
मात्र	{'adv': ['negative'], 'anypos': ['negative']}
प्रभावशाली	{'noun': ['negative']}
बेढंगेपन	{'adv': ['negative']}
प्रहरी	{'noun': ['negative']}
अनियमित	{'adj': ['negative']}
अनुपजाऊ	{'adj': ['negative']}
प्रलाप	{'noun': ['negative']}
युक्ति	{'noun': ['negative']}
निर्लज्जता	{'anypos': ['negative']}
बिलकुल	{'adv': ['negative']}
उड़ाऊ	{'adj': ['negative']}
उकेरी	{'adj': ['negative']}
अनुपयुक्त	{'noun': ['negative'], 'adv': ['negative']}
थकाऊ	{'noun': ['negative'], 'adj': ['negative']}
उद्दाम	{'adj': ['negative']}
घोटालों	{'noun': ['negative']}
अल्पकालिक	{'adj': ['negative']}
कायर	{'noun': ['negative']}
दोहराव	{'adj': ['negative']}
डूब	{'noun': ['negative']}
तेज़	{'adj': ['negative']}
तुरंत	{'adv': ['negative']}
विवेक	{'noun': ['negative']}
प्रतिबंधित	{'adj': ['negative']}
आरोपों	{'noun': ['negative']}
नाखुशी_से	{'adv': ['negative']}
सिर_पर	{'adv': ['negative']}
घातक	{'adj': ['negative']}
ठहराव	{'noun': ['negative']}
नाली	{'noun': ['negative']}
अपराधी	{'noun': ['negative'], 'anypos': ['negative'], 'adj': ['negative']}
भविष्य-ज्ञान	{'adj': ['negative']}
आपत्तियों	{'noun': ['negative']}
आत्म_विनाशकारी	{'adj': ['negative']}
अधूरा	{'adj': ['negative']}
बदनाम	{'adj': ['negative']}
परिधीय	{'adj': ['negative']}
गुमराह	{'adj': ['negative']}
कुंद	{'noun': ['negative'], 'adj': ['negative']}
निराश्रित	{'adj': ['negative']}
सीधे	{'adv': ['negative']}
बेआबरू	{'adj': ['negative']}
इसे_खारिज	{'noun': ['negative']}
बीहड़	{'adj': ['negative']}
तबदीली	{'noun': ['negative']}
नापसंदगी	{'noun': ['negative']}
डर	{'noun': ['negative'], 'adj': ['negative']}
सूना	{'adj': ['negative']}
अस्पष्ट	{'noun': ['negative'], 'adj': ['negative']}
नास्तिक	{'noun': ['negative']}
प्राणघातक	{'adj': ['negative']}
-बैक_लॉग_इन	{'anypos': ['negative']}
वमनकारी	{'adj': ['negative']}
काफिरों	{'noun': ['negative']}
जंगली	{'noun': ['negative'], 'adj': ['negative']}
हेत्वाभास	{'noun': ['negative']}
स्वच्छंद	{'adj': ['negative']}
लाभहीन	{'adj': ['negative']}
बच्चेवाली	{'adj': ['negative']}
यद्ध_के_कार्य	{'noun': ['negative']}
निद्य	{'adj': ['negative']}
अनियमितता	{'noun': ['negative']}
ठग	{'noun': ['negative']}
घुलनशील	{'adj': ['negative']}
जिज्ञासु	{'adj': ['negative']}
निकला_हुआ	{'adj': ['negative']}
अहंकार_से	{'adv': ['negative']}
सत्तावादी	{'adj': ['negative']}
स्वयं_सेवा	{'noun': ['negative']}
एक	{'adj': ['negative']}
सही_मायने_में	{'adv': ['negative']}
विधर्मी	{'noun': ['negative']}
खत्म	{'adj': ['negative']}
प्राचीन	{'adj': ['negative']}
दुबला	{'adj': ['negative']}
तीक्ष्णता	{'noun': ['negative']}
धूमिल	{'anypos': ['negative'], 'adj': ['negative']}
ढीठ	{'adj': ['negative']}
असंयमिता	{'noun': ['negative']}
निराकरण	{'noun': ['negative']}
उत्तेजक	{'noun': ['negative'], 'adj': ['negative']}
हीनता	{'noun': ['negative']}
ग़लत	{'adj': ['negative']}
एकाएक	{'anypos': ['negative']}
विडंबनाओं	{'noun': ['negative']}
भूखा	{'adj': ['negative']}
अपूरणीय	{'adj': ['negative']}
अब	{'adv': ['negative']}
निष्क्रिय	{'noun': ['negative'], 'adj': ['negative']}
जीर्ण	{'adj': ['negative']}
जातिवाद	{'noun': ['negative']}
वैमनस्य	{'noun': ['negative']}
अराजकता	{'noun': ['negative']}
बुरा_सपना	{'noun': ['negative']}
न_सहने_योग्य	{'adj': ['negative']}
धावा	{'noun': ['negative']}
अनसुलझे	{'adj': ['negative']}
विस्फोटक	{'adj': ['negative']}
शार्क	{'noun': ['negative']}
जागृत_होना	{'noun': ['negative']}
सुरक्षित	{'noun': ['negative'], 'adj': ['negative']}
अपूर्ण	{'adv': ['negative'], 'adj': ['negative']}
कई	{'adj': ['negative']}
दया	{'noun': ['negative']}
अत्याचारों	{'noun': ['negative']}
आदत	{'noun': ['negative']}
कष्टदायक	{'adj': ['negative']}
शील	{'noun': ['negative']}
प्रकोप	{'noun': ['negative'], 'adj': ['negative']}
बंदी	{'noun': ['negative'], 'adj': ['negative']}
अनिश्चितता_के_बादल	{'adv': ['negative']}
मतभेद_करनेवाला	{'noun': ['negative']}
गिरोह	{'noun': ['negative']}
स्खलित	{'anypos': ['negative']}
समझ_से_बाहर	{'adj': ['negative']}
महंगा	{'noun': ['negative'], 'anypos': ['negative'], 'adj': ['negative']}
निर्दयी	{'adj': ['negative']}
सीमित	{'anypos': ['negative'], 'adj': ['negative']}
कल्पित_कहानी	{'noun': ['negative']}
बोझल	{'anypos': ['negative'], 'adj': ['negative']}
कट्टर	{'adj': ['negative']}
बेचैन	{'adj': ['negative']}
दूषण	{'noun': ['negative']}
पिछड़ेपन	{'noun': ['negative']}
पीड़ित	{'noun': ['negative'], 'adj': ['negative']}
खंडहर	{'adj': ['negative']}
सुधार	{'noun': ['negative']}
पुराना	{'adj': ['negative']}
जंगी	{'adj': ['negative']}
सूका_रोगी	{'adj': ['negative']}
ऊबड़	{'adj': ['negative']}
कम	{'adv': ['negative'], 'adj': ['negative']}
अतिवादी	{'adj': ['negative']}
कर्कशा	{'noun': ['negative']}
शराबी	{'noun': ['negative'], 'adj': ['negative']}
अवज्ञा	{'noun': ['negative']}
समधान_के_अयोग्य	{'adj': ['negative']}
मुट्ठी	{'noun': ['negative']}
चिरस्थायी	{'adj': ['negative']}
इन्युएन्दो	{'noun': ['negative']}
सक्षम	{'adj': ['negative']}
पूरक	{'noun': ['negative']}
अभी_तक	{'adv': ['negative']}
दाहक	{'adj': ['negative']}
कोसने	{'anypos': ['negative']}
घोटाले	{'noun': ['negative']}
विषमता	{'noun': ['negative']}
भय_उत्पन्न_करनेवाला	{'adj': ['negative']}
प्रचंड	{'adj': ['negative']}
व्यस्त	{'adj': ['negative']}
कोई_खबर_नहीं	{'anypos': ['negative']}
व्यवस्थापत्र	{'noun': ['negative']}
धाराप्रवाह	{'adj': ['negative']}
बेकल	{'adj': ['negative']}
अपराध	{'noun': ['negative']}
अनमोल	{'noun': ['negative']}
अप्रचलित	{'adj': ['negative']}
अल्टिमेटम	{'noun': ['negative']}
जादुई	{'adj': ['negative']}
पतन	{'noun': ['negative']}
बचाव_का_रास्ता	{'noun': ['negative']}
असमर्थ	{'adj': ['negative']}
घूरते_से	{'adv': ['negative']}
कमजोर	{'noun': ['negative'], 'adj': ['negative']}
संक्षारक	{'adj': ['negative']}
स्वांग	{'noun': ['negative']}
चुगली	{'noun': ['negative'], 'anypos': ['negative']}
जुनून	{'noun': ['negative']}
व्यर्थ	{'adj': ['negative']}
बेरंग	{'adj': ['negative']}
बेलगाम	{'adj': ['negative']}
अकृतज्ञ	{'adj': ['negative']}
प्रतिबंधक	{'adj': ['negative']}
विनाशकारी	{'adj': ['negative']}
निर्दोष	{'adj': ['negative']}
अजीब	{'noun': ['negative'], 'adj': ['negative'], 'adv': ['negative']}
महत्वहीन	{'adj': ['negative']}
निर्लज्ज	{'adj': ['negative']}
पस्र्ष	{'adj': ['negative']}
मोचन	{'noun': ['negative']}
सहायता	{'noun': ['negative']}
आक्रामक	{'noun': ['negative'], 'anypos': ['negative']}
कीड़े	{'anypos': ['negative']}
स्तर	{'noun': ['negative']}
स्वीकार_किया	{'anypos': ['negative']}
द्वेषपूर्ण	{'adj': ['negative']}
अंकुड़ा	{'noun': ['negative']}
धीमी_गति_से_चलती	{'adj': ['negative']}
तोड़ना	{'anypos': ['negative']}
संयोग_से	{'adv': ['negative']}
शरारत	{'noun': ['negative']}
सनातन	{'adj': ['negative']}
सनक	{'noun': ['negative']}
उद्वेग_उत्पन्न_करनेवाला_मनुष्य	{'noun': ['negative']}
कड़ाई_से	{'adv': ['negative']}
दरिद्र	{'adj': ['negative']}
बिना_डंडी	{'adj': ['negative']}
पोला	{'adj': ['negative']}
प्रवाह	{'noun': ['negative']}
कल्ला	{'anypos': ['negative']}
संबंध_विच्छेद	{'anypos': ['negative']}
मुक्त	{'adj': ['negative']}
नालायकी	{'adv': ['negative']}
बेजा	{'adj': ['negative']}
पीठ_में_दर्द	{'anypos': ['negative']}
घृणित_रूप	{'adj': ['negative']}
ढोंगी	{'anypos': ['negative']}
कालकोठरी	{'noun': ['negative']}
अपराधों	{'noun': ['negative']}
इतनी_कैलोरी	{'adj': ['negative']}
लौकिक	{'adj': ['negative']}
मैला	{'adj': ['negative']}
शायद_ही	{'adv': ['negative']}
अलगाव_की_भावना	{'noun': ['negative']}
उजागर	{'adj': ['negative']}
उन्मूलन	{'noun': ['negative']}
विवादास्पद	{'noun': ['negative'], 'adj': ['negative']}
डाह	{'noun': ['negative']}
असुरक्षा	{'noun': ['negative']}
भावुकतापूर्ण_नाटकीय_ढंग_से	{'adv': ['negative']}
आपदा	{'noun': ['negative']}
पछतावा	{'noun': ['negative']}
कुबुद्धि	{'adj': ['negative']}
खेल	{'adj': ['negative']}
गोली	{'noun': ['negative']}
नाइत्तिफ़ाक़ी	{'noun': ['negative']}
हमवार	{'adj': ['negative']}
अनुपस्थित_दिमाग	{'adj': ['negative']}
सहानुभूति_रहनेवाला	{'noun': ['negative']}
अनुपालन	{'noun': ['negative']}
